word,hungary_public_ed_dev_strategy_2004_en.pdf,estonia-higher-education-strategy-2006-2015.pdf,ireland_national_skills_stratgey_2025.pdf,norway_secondary_education.pdf,armenia_educational_national_plan.pdf,strategic_framework_cz20301.pdf,czech_republic_framework_education_programme_for_basic_education.pdf,bosnia-and-herzegovina_priorities_for_2016_-_2026_higher_education_development_in_bih_eu.pdf,albania-education-strategy-2004-2015.pdf,ireland_strategy_statement.pdf,croatia_education_sector_development_plan_2005-2010.pdf,moldova_r_seqa-esg-national-action-plan_rm_final_engl.pdf,czech_republic_higher_education_strategic_plan_2021.pdf,ireland_national-strategy-for-higher-education-2030-implementation-plan.pdf,georgia_consolidated_education_strategy_and_action_plan_2007-2011.pdf,moldova_education_plan2006-2008.pdf,denmark_better_education_action_plan.pdf,netherlands_quality_agreements_2019-2024.pdf,ireland_department-of-education-and-skills-strategy-statement-2016-2019.pdf,netherlands_quality_in_diversity_strategy.pdf,estonia_youth_work_strategy_2006-2013.pdf,lithuania_ed_improvement_project_2002-2005.pdf,montenegro_strategy_for_the_development_of_higher_education_2016-2020.pdf,reportsstategy-statementdepartment-of-education-and-skills-statement-of-strategy-2015-2017.pdf,moldova_consolidated_strategy_ed-dev_2011-2015.pdf,ireland_statement-of-strategy-2019-2021.pdf
diaspora,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
underutilis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
likelihood,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
underrepres,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,1
thousand,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,15,0,1,0,0,0,0,0,0,7,0
cork,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preplan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
replenish,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cv,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advic,0,0,7,0,0,0,0,0,0,9,0,1,0,2,1,0,0,0,5,11,0,0,0,0,0,0
workshop,0,0,1,0,1,0,1,2,27,0,3,3,7,0,1,0,0,0,0,0,0,0,1,0,1,0
recruit,0,0,8,0,0,0,0,0,1,8,1,12,4,2,1,0,8,0,0,0,0,0,1,1,0,0
suit,0,0,4,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0
galwaymayo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotel,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
finish,0,0,1,0,0,1,2,0,1,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
postplac,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gmit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feed,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpswwwdfaiemediaglobalirishglobalirishirelandsdiasporapolicypdf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raison,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dêtre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crisi,0,0,5,0,0,9,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0
impress,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
earliest,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
pivot,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0
assessmentpisa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pupil,0,0,4,59,22,4,615,0,26,15,38,0,1,0,13,12,52,0,8,0,3,10,1,0,62,1
preprimari,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,0
httpwwwoecdorgpisakeyfindingspisaresultshtm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpwwweducationieenthedepartmentpublicservicereform,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
math,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12,1,0,0,0,1,0,2
literaci,0,0,19,0,0,7,4,0,1,13,5,0,0,0,0,3,0,0,8,0,0,1,0,4,0,3
numeraci,0,0,11,18,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,4
postprimari,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
prowess,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interim,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0
read,0,0,13,22,0,0,41,0,0,1,0,1,0,0,1,1,0,0,7,1,0,0,0,0,0,1
timss,0,0,3,0,0,1,0,0,0,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,1,0
see,0,0,6,3,0,53,20,1,3,2,5,0,3,4,12,0,1,2,5,43,0,0,1,0,0,0
subgroup,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
nd,0,0,3,0,1,0,0,0,3,0,0,0,0,1,0,1,2,0,2,0,1,0,0,0,2,0
junior,0,0,29,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,14,0,0,0,0,1,0,1
biolog,0,0,3,0,1,6,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0
chemistri,0,0,4,0,1,0,9,0,0,0,0,0,0,0,0,0,2,0,2,16,0,0,0,0,1,0
physicschemistri,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
takeup,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
erc,0,0,1,0,0,0,0,0,0,0,0,0,4,0,15,0,0,0,0,1,0,0,0,0,0,0
th,0,0,8,0,0,2,8,0,0,0,0,0,2,0,0,0,3,0,1,5,0,4,0,0,0,0
counterpart,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pirl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,1,0
rank,0,0,3,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,3,4,0,0,2,0,0,0
ahead,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
irishyearold,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ago,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
secondlevel,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
earlychildhoodcareand,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecc,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2
childcar,0,0,8,0,0,3,0,0,0,3,0,0,1,0,9,0,0,0,1,0,0,0,0,0,1,0
subvent,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
call,0,0,3,0,1,7,1,0,1,0,1,0,8,0,1,0,1,0,1,11,0,0,5,0,0,0
cao,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
aistearand,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sec,0,0,7,0,0,0,0,0,6,2,0,0,1,6,0,0,0,0,2,0,0,0,0,0,0,0
belong,0,0,2,0,0,2,4,0,1,0,1,2,0,0,6,0,0,0,0,4,4,0,2,0,0,0
siolta,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpswwweducationieenschoolscollegesinformationliteracyandnumeracyliteracyandnumeraci,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
learningforlifepdf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpwwwerci,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httptimssandpirlsbcedu,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpwwwnccaieenpracticeguid,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
educationfocus,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inspect,0,0,9,0,0,1,4,0,6,5,1,0,2,0,0,0,0,0,8,1,0,0,0,6,0,0
inquirybas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tusla,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2
statutori,0,0,1,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,2,5,0,0,0,2,0,1
subjectspecif,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
investig,0,0,5,0,0,1,0,0,1,1,0,0,2,1,0,0,9,0,1,10,0,0,0,0,2,0
professionalis,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0
driven,0,0,3,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
forthcom,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0
juniorcycleimplementationtimet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
religi,0,0,2,0,0,1,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
belief,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0
ethic,0,0,1,0,0,3,11,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0
infant,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0
septemb,0,0,10,0,6,2,0,0,0,1,1,1,1,0,0,0,1,0,0,5,0,0,2,0,1,0
jcpa,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
autumn,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,9,2,1,6,0,0,0,1,0,0
ncca,0,0,16,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,1
histori,0,0,1,0,2,1,29,0,1,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,1
music,0,0,1,0,0,0,113,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1
geographi,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
thejunior,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
august,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,2,0
wood,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
graphic,0,0,1,0,0,1,17,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0
metalwork,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jewish,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classic,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
classroombas,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cba,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
princip,0,0,2,0,0,0,6,0,0,2,13,0,3,0,2,0,0,0,7,0,0,2,0,0,0,0
roll,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,1
wholeschool,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
seminar,0,0,3,0,0,0,1,4,2,0,0,7,0,0,1,0,0,0,0,0,1,0,2,0,5,0
teacherl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visit,0,0,4,0,1,0,1,4,0,1,0,10,0,0,0,0,3,4,1,3,0,0,5,0,1,0
jct,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
httpjuniorcycleiecurriculumframeworkforjuniorcycl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
termin,0,0,2,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
educationi,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
droichead,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
induct,0,0,3,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,2,0,0,0,0,2,0,0
probat,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seniorcycl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dei,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,2,1,8
planfor,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inclusioni,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transitionyear,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supportsar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ty,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
needswith,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inspectionar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tranch,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
publicthi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaisceaward,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transitionsin,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feel,0,0,5,0,0,2,17,0,1,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,1
consolid,0,0,3,0,0,2,0,0,6,1,0,2,0,5,20,15,0,0,0,1,0,0,0,0,3,0
initiativesat,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seamless,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpwwwteachingcouncilieen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpwwweducationieenpublicationspolicyreportsdeis_action_plan_on_educational_inclusionpdf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpswwweducationieentheeducationsystemspecialeduc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpwwweducationieenpresseventspressreleasespressreleasesprhtml,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpwwweducationieenpublicationsinspectionreportspubl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpwwwschoolselfevaluationi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpwwweducationieenpublicationseducationreportssupportingabettertransitionfromsecond,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leveltohighereducationimplementationandnextstepspdf,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wwwgaiscei,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpswwweducationieenpublicationseducationreportstransitionyearexploringthestudentexperiencepdf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpswwweducationieenpublicationspolicyreportsdigitalstrategyforschoolspdf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
httpswwweducationieenschoolscollegesinformationcurriculumandsyllabusforeignlanguag,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strategyforeignlanguagesstrategyhtml,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mathematician,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
earlyyear,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
book,0,0,6,0,0,0,3,0,12,1,5,0,0,0,13,1,0,0,0,3,0,0,0,0,3,0
be,0,0,22,0,0,0,44,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1
cottag,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kid,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
playschool,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aistear,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4
fun,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genuin,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
question,0,0,1,0,0,0,19,1,0,1,3,0,6,1,0,0,4,6,0,6,0,0,1,0,0,0
g,0,0,6,0,3,6,0,7,11,0,0,0,4,0,0,11,0,1,6,0,0,0,0,0,1,0
t,0,0,6,0,5,13,0,16,2,0,0,0,8,1,0,0,5,0,11,0,0,0,0,0,8,0
meaning,0,0,1,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
m,0,0,1,1,2,18,3,5,2,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,2,13
w,0,0,1,0,0,7,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0
ki,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o,0,0,7,0,7,9,0,14,0,0,0,0,1,0,0,0,4,0,17,0,0,0,0,0,7,0
evid,0,0,4,0,0,4,1,2,1,1,0,1,2,0,3,0,0,0,1,1,0,0,8,2,0,1
ss,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
myself,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rs,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
stay,0,0,2,1,1,1,1,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0
fi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
properti,0,0,1,0,1,7,14,0,1,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0
ci,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
p,0,0,2,0,3,18,2,91,6,0,3,1,1,0,0,1,3,0,10,9,0,0,1,0,20,0
liter,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
taster,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
experienti,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
h,0,0,1,0,2,9,0,2,2,0,0,0,10,0,0,10,2,1,8,0,0,0,0,0,0,0
journal,0,0,1,1,0,4,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0
reformof,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
developingtransvers,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knowledgeofchemistri,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciara,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ní,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dhrisceoil,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaelcholáist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luimnigh,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tablet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
video,0,0,3,0,0,0,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0
peer,0,0,3,0,0,1,20,0,0,1,1,4,2,0,2,0,0,0,6,1,0,0,2,0,0,0
annot,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
he,0,0,33,10,0,0,1,28,0,0,0,0,0,0,23,0,0,0,3,2,0,0,0,0,0,3
voic,0,0,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
file,0,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0
qqi,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
entrepreneur,0,0,3,0,0,5,2,0,0,0,0,0,0,0,0,0,6,0,1,9,0,0,0,0,0,0
lifetim,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
colaist,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chraobh,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abhann,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wicklow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spirit,0,0,1,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
week,0,0,4,0,1,1,8,0,47,0,0,0,1,0,0,0,0,2,1,3,0,0,3,0,0,0
expos,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
popup,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shop,0,0,6,0,0,4,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
premis,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0
appoint,0,0,3,0,4,1,0,0,4,2,0,7,8,1,3,0,0,1,3,5,0,0,1,1,0,0
everyth,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
els,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sold,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agre,0,0,7,0,0,1,2,8,14,33,1,0,0,6,1,0,2,7,2,10,0,0,0,0,0,1
mini,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blend,0,0,6,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0
tea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
headphon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
game,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
took,0,0,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,4,0,1,0
tenac,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forward,0,0,3,0,2,1,0,0,1,7,0,0,2,1,0,0,0,0,3,0,0,0,0,3,0,1
restructur,0,0,2,0,5,1,0,0,6,1,1,0,1,0,1,1,0,0,0,18,0,2,0,0,4,1
skillswith,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scratch,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disservic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lyon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saviour,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
